Comparation set,Ranking Popularity,City,Identity,Category,Primary tags,Name provider,Id,URL,Secondary tags,Cancellation,Availability,Language
1,1,1,colosseum,14,skip; ticket; tour,Viator,3058ANCIENT,http://www.partner.viator.com/en/23271/tours/Rome/Ancient-Rome-Half-Day-Walking-Tour/d511-3058ANCIENT,instant; mobile ,"more than 7 days in advance: full refund
between 2 and 7 days in advance: 50% refund",Everyday,English
1,1,1,colosseum,14,skip; ticket; tour,Getyourguide,61014,https://www.getyourguide.com/rome-l33/rome-35-hour-colosseum-roman-forum-walking-tour-t61014/,instant; mobile ,more than 2 days in advance: full refund,Everyday,English; German; French; Spanish; Portuguese; Italian
1,1,1,colosseum,14,skip; ticket; tour,Getyourguide,4903,https://www.getyourguide.com/rome-l33/skip-the-line-ancient-old-rome-walking-tour-t4903/,instant; mobile ,more than 1 day in advance: full refund,Everyday,English; German; French; Spanish
1,1,1,colosseum,14,skip; ticket; tour,Musement,101ff450-2046-11e7-9cc9-06a7e332783f,/uk/rome/colosseum-and-roman-forum-guided-tour-for-small-groups-1834/,instant; mobile; smallgroup,Free cancellation,Friday; Saturday; Sunday,
1,1,1,colosseum,14,skip; ticket; tour,Musement,0f5f211f-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/ancient-rome-tour-skip-the-line-to-the-colosseum-the-roman-forum-and-the-palatine-hill-773/,instant; mobile,,,
1,1,1,colosseum,14,skip; ticket; tour,CityDiscovery,13005,http://www.city-discovery.com/trackingAffiliate.php?tour=13005&affiliateID=4880LOCAL,instant; mobile ,"more than 8 days in advance: full refund
4 to 8 days in advance: 80% refund
less than 4 days: no refund",Everyday,
1,1,1,colosseum,14,skip; ticket; tour,Ceetiz,"not integrateed yet, probably url, tricky ",https://partners.ceetiz.com/lien/758/443/go,instant; mobile ,"more than 7 days in advance: full refund
4 to 8 days in advance: 50% refund
less than 4 days: no refund",Everyday,English; German; French; Spanish; Portuguese
1,1,1,colosseum,14,skip; ticket; tour,Headout,3866,https://www.headout.com/tour/3866/italy/rome/ancient-rome-half-day-walking-tour,instant; mobile ,,Everyday,English; German; French; Spanish; Portuguese
1,1,1,colosseum,14,skip; ticket; tour,Headout,3867,https://www.headout.com/tour/3867/italy/rome/skip-the-line-colosseum-palatine-hill-roman-forums-semi-private-tour,instant; mobile ,,,
1,1,1,colosseum,14,skip; ticket; tour,Expedia,not integrated yet,"https://www.expedia.ie/things-to-do/skip-the-line-colosseum-roman-forum-palatine-hill.a166587.activity-details?srp=true&location=Rome,%20Italy&latLong=41.903755,12.479556",instant; mobile ,"unitil 4 days in advance: full refund
less than 4 days: no refund",Everyday,English
2,8,1,colosseum,8,ticket,Getyourguide,45467,https://www.getyourguide.com/rome-l33/combined-ticket-colosseum-roman-forum-palatine-hill-t45467/,instant; print,,,
2,8,1,colosseum,8,ticket,Musement,088bf49f-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/skip-the-line-tickets-to-the-colosseum-the-roman-forum-and-the-palatine-hill-285/,instant; print,,,
2,8,1,colosseum,8,ticket,Tiqets,973760,https://www.tiqets.com/en/rome-c71631/colosseum-roman-forum-and-palatine-hill-p973760?op=1,instant; mobile ,,,
2,8,1,colosseum,8,ticket,CityDiscovery,12360,http://www.city-discovery.com/trackingAffiliate.php?tour=12360&affiliateID=4880LOCAL,instant; print,,,
2,8,1,colosseum,8,ticket,Ceetiz,,https://www.ceetiz.com/rome/skip-the-line-tickets-coliseum-palatine-hill-roman-forum,,,,
2,8,1,colosseum,8,ticket,Expedia,,"https://www.expedia.ie/things-to-do/skip-the-line-colosseum-palatine-hill-roman-forum-ticket.a166461.activity-details?srp=true&location=Rome,%20Italy&latLong=41.903755,12.479556",instant; print,,,
3,2,1,colosseum,8,skip; ticket,Getyourguide,62217,https://www.getyourguide.com/rome-l33/colosseum-ticket-t62217/,instant; mobile ,,,
3,2,1,colosseum,8,skip; ticket,Tiqets,974371,https://www.tiqets.com/en/rome-c71631/colosseum-skip-the-line-package-p974371,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Viator,2390GRET15,http://www.partner.viator.com/en/23271/tours/Rome/Naples-and-Pompeii-Day-Trip-from-Rome/d511-2390GRET15,instant,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Getyourguide,5825,https://www.getyourguide.com/rome-l33/naples-pompeii-day-trip-from-rome-t5825/,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Musement,15b09447-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/unesco-jewels-pompeii-and-naples-full-day-tour-from-rome-8681/,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Ceetiz,,https://partners.ceetiz.com/lien/3362/443/go,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Getyourguide,77749,https://www.getyourguide.com/rome-l33/from-rome-full-day-pompeii-naples-tour-t77749/,instant; print,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Getyourguide,57460,https://www.getyourguide.com/rome-l33/naples-and-pompeii-full-day-tour-from-rome-with-lunch-t57460/,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,Getyourguide,9255,https://www.getyourguide.com/rome-l33/pompei-and-naples-day-trip-from-rome-t9255/,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,CityDiscovery,9169,http://www.city-discovery.com/trackingAffiliate.php?tour=9169&affiliateID=4880LOCAL,instant; mobile ,,,
4,10,1,Pompeii; Naples; fromrome; ,11,skip; ticket; lunch,CityDiscovery,14969,http://www.city-discovery.com/trackingAffiliate.php?tour=14969&affiliateID=4880LOCAL,instant; mobile ,,,
5,3,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,skip; ticket; tour,Viator,3731VATICAN,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Vatican-Museums-with-St-Peters-Sistine-Chapel-and-Small-Group-Upgrade/d511-3731VATICAN,instant; mobile ,,,
